"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"21-May-2021","    33559.80","    34694.45","    33559.75","    34606.90","      534919600","        15481.77"
"24-May-2021","    34869.30","    35216.10","    34528.30","    34943.60","      618209361","        13622.16"
"25-May-2021","    35095.00","    35125.85","    34410.40","    34662.00","      349434738","         7934.33"
"26-May-2021","    34757.15","    34897.95","    34462.50","    34684.20","      321416671","         6958.58"
"27-May-2021","    34664.20","    35220.80","    34529.70","    35095.05","      726180251","        12383.50"
"28-May-2021","    35345.65","    35436.65","    34977.20","    35141.45","      551320823","        10112.32"
"31-May-2021","    35097.45","    35584.30","    34930.10","    35526.65","      379880136","         7409.40"
"01-Jun-2021","    35639.75","    35713.90","    35241.20","    35337.20","      323916139","         7023.03"
"02-Jun-2021","    35271.60","    35415.85","    35070.30","    35373.75","      591363574","         8204.85"
"03-Jun-2021","    35536.45","    35723.70","    35413.00","    35649.00","      421766510","         8052.52"
"04-Jun-2021","    35657.85","    35810.90","    35176.15","    35291.65","      282780039","         6361.13"
"07-Jun-2021","    35460.80","    35545.85","    35338.55","    35443.65","      253219977","         4479.08"
"08-Jun-2021","    35433.80","    35449.50","    34962.65","    35085.30","      214827767","         4957.91"
"09-Jun-2021","    35114.25","    35402.45","    34641.20","    34800.50","      315893506","         6186.83"
"10-Jun-2021","    34903.60","    35165.65","    34734.40","    35131.20","      324664716","         5476.33"
"11-Jun-2021","    35324.65","    35344.00","    34891.30","    35047.40","      192127390","         4479.26"
"14-Jun-2021","    34936.55","    34995.15","    34374.35","    34950.60","      311604282","         5533.18"
"15-Jun-2021","    35038.05","    35317.40","    34917.90","    35247.75","      170044245","         4690.54"
"16-Jun-2021","    35196.25","    35380.00","    34916.20","    35003.50","      157933211","         4256.70"
"17-Jun-2021","    34619.80","    34882.40","    34458.10","    34605.40","      199243725","         5003.67"
"18-Jun-2021","    34735.15","    34787.40","    33908.95","    34558.00","      274819851","         6551.86"
"21-Jun-2021","    34109.45","    34927.65","    33937.50","    34871.30","      260354639","         5691.50"
"22-Jun-2021","    35084.90","    35281.90","    34664.35","    34745.00","      264369582","         5876.63"
"23-Jun-2021","    34911.85","    34937.65","    34525.45","    34574.00","      315407199","         6100.47"
"24-Jun-2021","    34687.70","    34935.30","    34592.35","    34827.00","      210383466","         5047.31"
"25-Jun-2021","    34916.65","    35491.95","    34915.85","    35364.65","      236854047","         7005.52"
"28-Jun-2021","    35488.20","    35576.95","    35236.45","    35359.45","      320196203","         5890.36"
"29-Jun-2021","    35320.45","    35337.45","    34913.70","    35010.30","      266274918","         6869.92"
"30-Jun-2021","    35001.90","    35214.90","    34730.45","    34772.20","      249544293","         5922.66"
"01-Jul-2021","    34866.00","    34917.65","    34650.95","    34684.00","      164003666","         4642.09"
"02-Jul-2021","    34728.10","    34894.45","    34632.60","    34809.90","      165618523","         4150.49"
"05-Jul-2021","    35010.95","    35234.30","    34926.40","    35212.00","      164345876","         3521.40"
"06-Jul-2021","    35173.60","    35807.45","    35165.55","    35579.15","      179452046","         6015.41"
"07-Jul-2021","    35550.60","    35795.75","    35427.65","    35771.30","      151482780","         4373.93"
"08-Jul-2021","    35603.25","    35811.00","    35134.65","    35274.10","      169181977","         4674.22"
"09-Jul-2021","    35163.75","    35225.20","    34859.90","    35071.95","      145257589","         4368.31"
"12-Jul-2021","    35285.05","    35394.30","    35060.35","    35198.90","      183089619","         4314.98"
"13-Jul-2021","    35480.05","    35727.85","    35340.70","    35673.40","      134145673","         5257.17"
"14-Jul-2021","    35585.85","    35804.05","    35434.75","    35668.25","      103104332","         3621.95"
"15-Jul-2021","    35757.45","    35985.25","    35625.70","    35907.65","      116401975","         3780.09"
"16-Jul-2021","    35977.95","    35977.95","    35674.75","    35751.80","      124898578","         3037.86"
"19-Jul-2021","    35070.50","    35347.05","    34899.20","    35079.20","      130897303","         4910.46"
"20-Jul-2021","    34791.15","    34894.15","    34357.35","    34415.45","      159709578","         5359.02"
"22-Jul-2021","    34774.55","    34989.10","    34557.85","    34677.30","      164037904","         4445.62"
"23-Jul-2021","    34748.35","    35088.00","    34404.75","    35034.40","      200257651","         5310.25"
"26-Jul-2021","    34947.85","    35138.20","    34669.55","    34949.70","      179131153","         6187.92"
"27-Jul-2021","    35029.30","    35186.10","    34713.55","    34797.45","      173044876","         6639.90"
"28-Jul-2021","    34839.45","    34841.55","    34115.20","    34532.90","      174745645","         6783.84"
"29-Jul-2021","    34740.30","    34778.15","    34495.20","    34691.50","      195999122","         5521.61"
"30-Jul-2021","    34698.75","    34738.75","    34445.40","    34584.35","      174178173","         5836.13"
"02-Aug-2021","    34760.90","    34861.75","    34588.25","    34710.00","      241611859","         5151.40"
"03-Aug-2021","    34660.75","    35238.45","    34649.20","    35207.45","      254949840","         6529.88"
"04-Aug-2021","    35388.15","    36219.80","    35313.00","    36028.05","      363137299","        13550.66"
"05-Aug-2021","    36093.95","    36115.45","    35661.30","    35834.75","      312002845","         8949.45"
"06-Aug-2021","    35875.80","    36080.10","    35700.45","    35809.25","      230463834","         7209.36"
"09-Aug-2021","    35824.20","    36159.85","    35612.30","    36028.95","      166874234","         4546.70"
"10-Aug-2021","    35954.55","    36317.00","    35890.50","    36034.10","      201187741","         6083.06"
"11-Aug-2021","    36218.25","    36227.55","    35531.35","    35806.40","      200203008","         4955.85"
"12-Aug-2021","    35825.40","    35998.15","    35702.90","    35937.05","      122331527","         3481.99"
"13-Aug-2021","    36000.75","    36233.30","    35937.10","    36169.35","      125846393","         4593.12"
"16-Aug-2021","    36100.65","    36261.55","    36032.40","    36094.50","       87300657","         2984.95"
"17-Aug-2021","    35935.05","    35993.70","    35611.85","    35867.45","      118332001","         3930.78"
"18-Aug-2021","    36222.50","    36248.90","    35432.00","    35554.50","      140479197","         5157.20"
"20-Aug-2021","    35146.50","    35306.50","    34926.50","    35033.85","      181201194","         5621.76"
"23-Aug-2021","    35424.20","    35427.40","    34817.50","    35124.40","      174160064","         4581.56"
"24-Aug-2021","    35200.75","    35795.30","    35070.00","    35712.10","      173607876","         5382.27"
"25-Aug-2021","    35768.85","    35910.30","    35499.65","    35586.25","      144304924","         3947.90"
"26-Aug-2021","    35485.95","    35785.80","    35411.80","    35617.55","      136431065","         4684.26"
"27-Aug-2021","    35559.75","    35727.90","    35359.25","    35627.80","      120863177","         3898.87"
"30-Aug-2021","    35781.05","    36398.45","    35721.90","    36347.65","      150364401","         5079.70"
"31-Aug-2021","    36367.40","    36552.80","    36216.20","    36424.60","      210320042","         7839.06"
"01-Sep-2021","    36591.45","    36997.70","    36487.15","    36574.30","      181520267","         7867.86"
"02-Sep-2021","    36588.40","    36895.55","    36469.00","    36831.30","      118881969","         4621.75"
"03-Sep-2021","    36883.65","    37140.00","    36563.20","    36761.15","      155572966","         5188.05"
"06-Sep-2021","    36878.25","    36923.65","    36554.45","    36592.35","       88610035","         3038.65"
"07-Sep-2021","    36558.85","    36685.85","    36151.95","    36468.80","      124504318","         3933.55"
"08-Sep-2021","    36519.70","    36855.90","    36393.60","    36768.20","      175840330","         6679.55"
"09-Sep-2021","    36725.50","    36857.20","    36566.70","    36683.20","       83638944","         3301.50"
"13-Sep-2021","    36608.45","    36724.85","    36327.05","    36471.80","       82205571","         3282.17"
"14-Sep-2021","    36639.95","    36756.00","    36529.65","    36613.05","      109343491","         4311.88"
"15-Sep-2021","    36543.55","    36949.70","    36496.05","    36852.25","      177854499","         5463.77"
"16-Sep-2021","    36946.00","    37720.15","    36907.75","    37668.60","      423076588","        10734.00"
"17-Sep-2021","    37929.50","    38112.75","    37396.05","    37811.95","      335066214","        11153.32"
"20-Sep-2021","    37388.20","    37802.75","    37068.45","    37145.70","      152042291","         4919.32"
"21-Sep-2021","    37238.40","    37340.70","    36525.95","    37235.85","      153954277","         5563.12"
"22-Sep-2021","    37277.10","    37328.60","    36885.60","    36944.65","      106372965","         4126.90"
"23-Sep-2021","    37241.25","    37830.75","    37216.15","    37771.70","      139137134","         5471.40"
"24-Sep-2021","    37954.00","    38112.60","    37680.00","    37830.30","      138418570","         5205.98"
"27-Sep-2021","    38054.75","    38355.20","    37968.20","    38171.25","      112955375","         4516.18"
"28-Sep-2021","    38360.00","    38377.25","    37315.20","    37945.00","      200987747","         5679.24"
"29-Sep-2021","    37601.10","    37923.45","    37371.05","    37743.00","      260519352","         7824.77"
"30-Sep-2021","    37677.80","    37884.85","    37354.25","    37425.10","      235076302","         7155.78"
"01-Oct-2021","    37140.40","    37299.40","    36876.35","    37225.90","      189209173","         4705.98"
"04-Oct-2021","    37392.15","    37670.70","    37355.60","    37579.65","      146438070","         3839.00"
"05-Oct-2021","    37499.80","    37786.60","    37364.75","    37741.00","      153094965","         4372.22"
"06-Oct-2021","    37768.80","    38106.85","    37452.00","    37521.55","      204213956","         6270.47"
"07-Oct-2021","    37894.00","    37923.65","    37650.25","    37753.20","      136415691","         4753.02"
"08-Oct-2021","    37906.40","    38105.20","    37674.35","    37775.25","      168175930","         4611.89"
"11-Oct-2021","    37782.75","    38495.30","    37744.65","    38293.80","      136093225","         4785.36"
"12-Oct-2021","    38178.35","    38609.60","    38144.60","    38521.50","      201279829","         4935.67"
"13-Oct-2021","    38735.30","    38779.05","    38502.70","    38635.75","      205858894","         3921.24"
"14-Oct-2021","    38684.65","    39375.05","    38673.00","    39340.90","      249639376","         5612.83"
"18-Oct-2021","    39794.25","    39947.60","    39569.55","    39684.80","      580029143","         9484.58"
"19-Oct-2021","    39927.30","    40011.15","    39394.25","    39540.50","      274854608","         5832.63"
