"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"25-May-2016","    16600.65","    17025.85","    16599.05","    16997.45","       86513208","         2190.92"
"26-May-2016","    17037.60","    17424.05","    16971.35","    17359.30","      134389985","         3368.29"
"27-May-2016","    17348.35","    17543.30","    17327.65","    17511.80","      163233119","         3840.31"
"30-May-2016","    17580.85","    17666.05","    17484.80","    17520.65","       96747582","         2371.69"
"31-May-2016","    17615.10","    17648.25","    17462.20","    17620.90","      115964022","         3491.60"
"01-Jun-2016","    17670.85","    17670.85","    17392.85","    17423.45","       99164561","         2547.94"
"02-Jun-2016","    17405.15","    17596.40","    17350.45","    17567.80","       78335336","         2242.66"
"03-Jun-2016","    17657.20","    17762.05","    17649.05","    17680.80","       89366456","         2670.52"
"06-Jun-2016","    17710.45","    17754.15","    17636.90","    17671.40","       81251372","         2190.33"
"07-Jun-2016","    17796.55","    18000.95","    17713.35","    17948.15","      167578972","         4195.31"
"08-Jun-2016","    17976.25","    17995.80","    17855.20","    17946.80","      123360967","         2819.24"
"09-Jun-2016","    17955.80","    17986.15","    17801.55","    17887.70","      107528433","         2437.91"
"10-Jun-2016","    17830.20","    18051.50","    17815.25","    17828.60","       94174779","         2392.43"
"13-Jun-2016","    17620.55","    17666.55","    17527.55","    17593.95","       72871679","         1967.88"
"14-Jun-2016","    17698.95","    17719.85","    17575.95","    17672.40","       94796689","         2072.72"
"15-Jun-2016","    17746.05","    17943.65","    17659.60","    17917.90","      119252898","         2716.96"
"16-Jun-2016","    17827.60","    17827.60","    17545.80","    17671.30","      132625249","         2917.89"
"17-Jun-2016","    17772.30","    17843.15","    17590.75","    17696.05","       91953442","         2295.07"
"20-Jun-2016","    17425.80","    17779.00","    17425.80","    17718.60","      110665302","         2595.04"
"21-Jun-2016","    17761.65","    17763.30","    17585.65","    17619.10","       73724929","         1760.53"
"22-Jun-2016","    17610.10","    17755.25","    17518.15","    17626.05","       68941887","         1925.78"
"23-Jun-2016","    17630.80","    17907.50","    17611.00","    17892.45","       71430195","         2007.67"
"24-Jun-2016","    17213.85","    17459.20","    16946.35","    17426.05","      164607648","         4115.86"
"27-Jun-2016","    17346.30","    17611.20","    17346.30","    17514.95","       89947886","         2173.17"
"28-Jun-2016","    17497.00","    17626.70","    17481.50","    17561.55","       73838256","         1865.70"
"29-Jun-2016","    17643.65","    17728.95","    17580.50","    17689.90","       60629596","         1743.27"
"30-Jun-2016","    17825.30","    17975.05","    17795.90","    17935.40","      118532313","         3306.28"
"01-Jul-2016","    18019.70","    18074.95","    17955.30","    17985.65","       69395415","         1897.16"
"04-Jul-2016","    18091.75","    18146.35","    18054.80","    18097.65","       88028823","         2066.45"
