"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"18-Oct-2021","    39794.25","    39947.60","    39569.55","    39684.80","      580029143","         9484.58"
"19-Oct-2021","    39927.30","    40011.15","    39394.25","    39540.50","      274854608","         5832.63"
"20-Oct-2021","    39545.45","    39774.55","    39292.80","    39518.20","      236894524","         6136.15"
"21-Oct-2021","    39676.55","    40200.45","    39428.10","    40030.20","      271266226","         7241.93"
"22-Oct-2021","    40192.65","    40587.35","    40149.55","    40323.65","      370521433","         8427.53"
"25-Oct-2021","    40961.25","    41829.60","    40508.10","    41192.40","      476829654","        17994.24"
"26-Oct-2021","    41057.75","    41367.25","    40829.15","    41238.30","      437106559","        10330.70"
"27-Oct-2021","    41234.55","    41347.00","    40750.00","    40874.35","      322833423","        10941.19"
"28-Oct-2021","    40915.15","    40931.05","    39350.20","    39508.95","      512721476","        11302.12"
"29-Oct-2021","    39424.55","    39775.25","    38426.65","    39115.60","      341299932","         9276.25"
"01-Nov-2021","    39432.15","    39862.60","    39120.65","    39763.75","      203227931","         6875.20"
"02-Nov-2021","    39796.90","    40107.60","    39590.70","    39938.45","      265000402","         7594.77"
"03-Nov-2021","    40040.65","    40160.20","    39304.85","    39402.05","      267471244","         9163.63"
"04-Nov-2021","    39669.10","    39734.70","    39514.15","    39573.70","       38771464","         1174.30"
"08-Nov-2021","    39674.05","    39674.05","    38932.15","    39438.25","      212859120","        10040.13"
"09-Nov-2021","    39517.85","    39560.60","    39223.40","    39368.80","      203521905","         6800.76"
"10-Nov-2021","    39206.20","    39220.30","    38873.80","    39023.25","      167942059","         5776.38"
"11-Nov-2021","    38913.05","    38929.95","    38346.05","    38560.20","      146046747","         4676.68"
"12-Nov-2021","    38707.15","    38822.85","    38467.80","    38733.35","      136008185","         5412.25"
"15-Nov-2021","    38849.45","    39117.15","    38606.60","    38702.35","      112339108","         4496.40"
"16-Nov-2021","    38710.90","    38724.70","    38211.10","    38307.10","      129073386","         4580.98"
"17-Nov-2021","    38113.40","    38456.30","    37981.20","    38041.55","      139261045","         5184.44"
"18-Nov-2021","    38071.90","    38233.95","    37748.45","    37976.25","      238703538","         6350.80"
"22-Nov-2021","    38232.15","    38241.00","    36655.40","    37128.80","      209492175","         7478.88"
"23-Nov-2021","    36787.00","    37448.75","    36647.55","    37272.80","      188686871","         7162.98"
"24-Nov-2021","    37384.75","    37891.90","    37238.05","    37441.95","      157620877","         7326.17"
"25-Nov-2021","    37362.05","    37507.95","    37118.40","    37364.75","      140754665","         5397.62"
"26-Nov-2021","    36830.90","    36868.90","    35904.10","    36025.50","      211362819","         7180.94"
"29-Nov-2021","    36224.45","    36347.85","    35327.90","    35976.45","      187220921","         6835.46"
"30-Nov-2021","    35958.80","    36774.20","    35526.35","    35695.30","      227277255","         9108.48"
"01-Dec-2021","    35902.90","    36445.35","    35805.00","    36364.90","      173851062","         6460.45"
"02-Dec-2021","    36281.85","    36563.50","    36166.70","    36508.25","      131729305","         5162.81"
"03-Dec-2021","    36497.30","    36844.00","    36062.85","    36197.15","      138908168","         5366.96"
"06-Dec-2021","    36252.75","    36344.55","    35696.75","    35735.90","      136034034","         4839.19"
"07-Dec-2021","    36086.95","    36820.70","    36013.95","    36618.40","      146690900","         7194.76"
"08-Dec-2021","    37052.75","    37384.80","    36905.15","    37284.70","      164970767","         7565.62"
"09-Dec-2021","    37331.75","    37397.55","    36884.45","    37082.45","      123180683","         4973.41"
"10-Dec-2021","    37083.15","    37153.25","    36824.40","    37105.65","      170851309","         4280.70"
"13-Dec-2021","    37358.20","    37581.05","    36861.90","    36925.25","      157271322","         5574.96"
"14-Dec-2021","    36778.95","    37039.05","    36545.40","    36893.95","      132155329","         5926.56"
"15-Dec-2021","    36929.50","    37083.50","    36743.20","    36789.55","      105795292","         4059.21"
"16-Dec-2021","    37092.95","    37159.30","    36385.75","    36548.65","      112689350","         4473.63"
"17-Dec-2021","    36491.80","    36550.75","    35535.05","    35618.65","      152082650","         5119.66"
"20-Dec-2021","    35124.35","    35231.10","    34018.45","    34439.85","      200121444","         6632.70"
"21-Dec-2021","    34863.35","    35050.00","    34389.95","    34607.85","      159620617","         4749.81"
"22-Dec-2021","    34865.25","    35112.10","    34687.60","    35029.50","      128585560","         4013.63"
"23-Dec-2021","    35350.50","    35477.30","    35046.25","    35191.15","      114199334","         3761.10"
"24-Dec-2021","    35282.20","    35327.95","    34583.40","    34857.05","      132458164","         3370.20"
"27-Dec-2021","    34573.65","    35143.70","    34233.00","    35057.90","      335136830","         6888.03"
"28-Dec-2021","    35308.30","    35352.40","    35037.90","    35183.80","      181620183","         4567.78"
"29-Dec-2021","    35168.85","    35378.30","    34890.80","    35045.40","      122522831","         3502.20"
"30-Dec-2021","    34977.65","    35179.05","    34751.25","    35063.60","      328003519","         7418.43"
"31-Dec-2021","    35114.40","    35596.95","    35113.75","    35481.70","      210320259","         4234.82"
"03-Jan-2022","    35585.20","    36492.10","    35526.60","    36421.90","      219015015","         5334.58"
"04-Jan-2022","    36551.25","    36887.80","    36374.40","    36840.15","      190538010","         5610.46"
"05-Jan-2022","    36943.55","    37862.40","    36756.35","    37695.90","      237374910","         8762.40"
"06-Jan-2022","    37242.55","    37752.50","    37058.45","    37490.25","      199034793","         5835.83"
"07-Jan-2022","    37667.05","    38134.85","    37427.80","    37739.60","      183337111","         6079.93"
"10-Jan-2022","    37930.55","    38400.35","    37929.35","    38347.90","      206472501","         5233.55"
"11-Jan-2022","    38370.00","    38504.60","    38031.75","    38442.20","      159537910","         5111.10"
"12-Jan-2022","    38719.60","    38851.45","    38604.60","    38727.55","      156053463","         5993.13"
"13-Jan-2022","    38717.55","    38717.55","    38376.15","    38469.95","      159208683","         6581.17"
"14-Jan-2022","    38302.35","    38448.05","    38007.75","    38370.40","      148647294","         5026.83"
"17-Jan-2022","    38212.55","    38617.50","    38138.25","    38216.15","      140304025","         6085.82"
"18-Jan-2022","    38337.40","    38855.55","    38095.40","    38210.30","      168774319","         6097.59"
"19-Jan-2022","    38145.75","    38330.50","    37769.25","    38041.35","      165345459","         5649.74"
"20-Jan-2022","    38106.10","    38167.95","    37591.85","    37850.85","      149614744","         5346.09"
"21-Jan-2022","    37522.35","    37741.00","    37224.25","    37574.30","      157806216","         5068.35"
"24-Jan-2022","    37601.95","    37694.70","    36375.35","    36947.55","      231032351","         7721.28"
"25-Jan-2022","    36598.05","    37788.80","    36415.60","    37706.75","      267527334","         9128.85"
"27-Jan-2022","    37058.20","    38147.65","    37012.25","    37982.10","      346316385","        11525.61"
